id,manufacturer_id,name,created_at,updated_at
72,6,PA-7100,"2014-11-17 00:01:57.734033","2014-11-17 00:01:57.734033"
73,6,PA-7100LC,"2014-11-17 00:01:57.921691","2014-11-17 00:01:57.921691"
74,6,PA-7150,"2014-11-17 00:01:58.308037","2014-11-17 00:01:58.308037"
75,6,PA-7200,"2014-11-17 00:01:58.418952","2014-11-17 00:01:58.418952"
76,6,PA-7300LC,"2014-11-17 00:01:58.510509","2014-11-17 00:01:58.510509"
77,6,PA-8000,"2014-11-17 00:01:58.609467","2014-11-17 00:01:58.609467"
78,6,PA-8200,"2014-11-17 00:01:58.695634","2014-11-17 00:01:58.695634"
79,6,PA-8500,"2014-11-17 00:01:58.806046","2014-11-17 00:01:58.806046"
80,6,PA-8600,"2014-11-17 00:01:59.059765","2014-11-17 00:01:59.059765"
81,6,PA-8700,"2014-11-17 00:01:59.219666","2014-11-17 00:01:59.219666"
82,6,PA-8700+,"2014-11-17 00:01:59.369595","2014-11-17 00:01:59.369595"
83,7,Power2,"2014-11-17 00:01:59.441254","2014-11-17 00:01:59.441254"
84,7,Power3,"2014-11-17 00:01:59.733915","2014-11-17 00:01:59.733915"
85,7,Power3-II,"2014-11-17 00:01:59.823256","2014-11-17 00:01:59.823256"
86,7,Power4+,"2014-11-17 00:01:59.936021","2014-11-17 00:01:59.936021"
87,7,Power5,"2014-11-17 00:02:00.143199","2014-11-17 00:02:00.143199"
88,7,Power6,"2014-11-17 00:02:00.365999","2014-11-17 00:02:00.365999"
89,7,Power7,"2014-11-17 00:02:00.553406","2014-11-17 00:02:00.553406"
90,7,"PowerPC 7xx","2014-11-17 00:02:00.651454","2014-11-17 00:02:00.651454"
91,7,"PowerPC 970","2014-11-17 00:02:00.729880","2014-11-17 00:02:00.729880"
92,7,"PowerPC 602","2014-11-17 00:02:00.787331","2014-11-17 00:02:00.787331"
93,7,"PowerPC 603","2014-11-17 00:02:00.833683","2014-11-17 00:02:00.833683"
94,7,"PowerPC 620","2014-11-17 00:02:00.866265","2014-11-17 00:02:00.866265"
95,7,"PowerPC 630","2014-11-17 00:02:00.905370","2014-11-17 00:02:00.905370"
96,7,"PowerPC 601","2014-11-17 00:02:01.011766","2014-11-17 00:02:01.011766"
97,7,"PowerPC 601v","2014-11-17 00:02:01.142319","2014-11-17 00:02:01.142319"
98,7,"PowerPC 603e","2014-11-17 00:02:01.220026","2014-11-17 00:02:01.220026"
99,7,"PowerPC 603ev","2014-11-17 00:02:01.304507","2014-11-17 00:02:01.304507"
100,7,"PowerPC 604","2014-11-17 00:02:01.364320","2014-11-17 00:02:01.364320"
101,7,"PowerPC 604e","2014-11-17 00:02:01.506057","2014-11-17 00:02:01.506057"
102,7,"PowerPC 604ev","2014-11-17 00:02:01.669088","2014-11-17 00:02:01.669088"
103,7,"RS64 IV","2014-11-17 00:02:01.851111","2014-11-17 00:02:01.851111"
104,7,RS64-II,"2014-11-17 00:02:02.006639","2014-11-17 00:02:02.006639"
105,7,RS64-III,"2014-11-17 00:02:02.106173","2014-11-17 00:02:02.106173"
106,9,4004,"2014-11-17 00:02:02.222204","2014-11-17 00:02:02.222204"
107,9,8008,"2014-11-17 00:02:02.255732","2014-11-17 00:02:02.255732"
108,9,8080,"2014-11-17 00:02:02.293550","2014-11-17 00:02:02.293550"
109,9,8086,"2014-11-17 00:02:02.330971","2014-11-17 00:02:02.330971"
110,9,8088,"2014-11-17 00:02:02.423098","2014-11-17 00:02:02.423098"
111,9,80286,"2014-11-17 00:02:02.478684","2014-11-17 00:02:02.478684"
112,9,"80386 DX","2014-11-17 00:02:02.578010","2014-11-17 00:02:02.578010"
113,9,"80486 DX","2014-11-17 00:02:02.717109","2014-11-17 00:02:02.717109"
