Intel® Product Specification Comparison
01/07/2025 03:13:46 PM
 ,Intel® Xeon® 6740E Processor ,Intel® Xeon® 6756E Processor ,Intel® Xeon® 6780E Processor ,Intel® Xeon® 6710E Processor ,Intel® Xeon® 6766E Processor ,Intel® Xeon® 6731E Processor ,Intel® Xeon® 6746E Processor ,Intel® Xeon® 6960P Processor ,Intel® Xeon® 6980P Processor ,Intel® Xeon® 6979P Processor ,Intel® Xeon® 6972P Processor ,Intel® Xeon® 6952P Processor 
Instruction Set Extensions,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512
Intel® Virtual RAID on CPU (Intel® VROC) Available,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Advanced Matrix Extensions (AMX),,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Speed Select Technology – Core Power,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Speed Select Technology – Turbo Frequency,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Speed Select Technology - Performance Profile,,,,,,,,Yes,,,Yes,Yes
Intel® Speed Select Technology - Base Frequency,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,,,,,,,,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® TSX-NI,,,,,,,,Yes,Yes,Yes,Yes,Yes
# of AVX-512 FMA Units,,,,,,,,2,2,2,2,2

Security & Reliability
Intel® Trust Domain Extensions (Intel® TDX),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB
Intel® Crypto Acceleration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® QuickAssist Software Acceleration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Platform Firmware Resilience Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Control-Flow Enforcement Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Total Memory Encryption - Multi Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Total Memory Encryption,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mode-based Execute Control (MBEC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Software Guard Extensions (Intel® SGX),,,,,,,,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes,Yes with Intel® SPS
Intel® Trusted Execution Technology ‡,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Run Sure Technology,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,,,,,,,Yes,Yes,Yes,Yes,Yes

Intel® Speed Select Technology - Performance Profile (Intel® SST-PP)
Intel® Speed Select Technology,,,,,,,,See the specifications,,,See the specifications,See the specifications
