index,in Watt,,,
model,TDP,n_cores,TDP_per_core,source
AMD Ryzen AI 9 HX PRO 375,28.0,12,2.3333333333333335,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen AI 9 HX PRO 370,28.0,12,2.3333333333333335,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen AI 7 PRO 360,28.0,8,3.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen AI 9 HX 375,28.0,12,2.3333333333333335,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen AI 9 HX 370,28.0,12,2.3333333333333335,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen AI 9 365,28.0,10,2.8,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 9 9950X,170.0,16,10.625,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 9 9900X,120.0,12,10.0,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 9800X3D,120.0,8,15.0,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 9700X,65.0,8,8.125,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 9600X,65.0,6,10.833333333333334,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 9 PRO 8945HS,45.0,8,5.625,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 PRO 8840U,28.0,8,3.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 PRO 8845HS,45.0,8,5.625,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 PRO 8840HS,28.0,8,3.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 PRO 8700GE,35.0,8,4.375,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 PRO 8700G,65.0,8,8.125,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8640U,28.0,6,4.666666666666667,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8645HS,45.0,6,7.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8640HS,28.0,6,4.666666666666667,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8600GE,35.0,6,5.833333333333333,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8600G,65.0,6,10.833333333333334,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8540U,28.0,6,4.666666666666667,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8500GE,35.0,6,5.833333333333333,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 PRO 8500G,65.0,6,10.833333333333334,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 9 8945HS,45.0,8,5.625,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 3 PRO 8300GE,35.0,4,8.75,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 3 PRO 8300G,65.0,4,16.25,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 8845HS,45.0,8,5.625,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 8840U,28.0,8,3.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 8840HS,28.0,8,3.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 8700G,65.0,8,8.125,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 7 8700F,65.0,8,8.125,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 8645HS,45.0,6,7.5,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 8640U,28.0,6,4.666666666666667,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 8640HS,28.0,6,4.666666666666667,https://www.amd.com/en/products/specifications/processors.html
AMD Ryzen 5 8600G,65.0,6,10.833333333333334,https://www.amd.com/en/products/specifications/processors.html
