index,in Watt,,,
model,TDP,n_cores,TDP_per_core,source
Core i3 i3-4158U,28,2,14,http://cpudb.stanford.edu
Core i3 i3-2105,65,2,32.5,http://cpudb.stanford.edu
Core i3 i3-4120U,15,2,7.5,http://cpudb.stanford.edu
Core i3 i3-3130M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-2100,65,2,32.5,http://cpudb.stanford.edu
Core i3 i3-3240T,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-4150,54,2,27,http://cpudb.stanford.edu
Core i3 330M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-4000M,37,2,18.5,http://cpudb.stanford.edu
Core i3 i3-4005U,15,2,7.5,http://cpudb.stanford.edu
Core i3 i3-4100U,15,2,7.5,http://cpudb.stanford.edu
Core i3 i3-3250,55,2,27.5,http://cpudb.stanford.edu
Core i3 i3-3250T,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-3120M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-560,73,2,36.5,http://cpudb.stanford.edu
Core i3 i3-2365M,17,2,8.5,http://cpudb.stanford.edu
Core i3 i3-3227U,17,2,8.5,http://cpudb.stanford.edu
Core i3 i3-2100T,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-2102,65,2,32.5,http://cpudb.stanford.edu
Core i3 i3-2348M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-4110M,37,2,18.5,http://cpudb.stanford.edu
Core i3 380M,35,2,17.5,http://cpudb.stanford.edu
Core i3 560,73,2,36.5,http://cpudb.stanford.edu
Core i3 i3-4100M,37,2,18.5,http://cpudb.stanford.edu
Core i3 i3-380UM,18,2,9,http://cpudb.stanford.edu
Core i3 i3-2125,65,2,32.5,http://cpudb.stanford.edu
Core i3 i3-2310M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-3210,55,2,27.5,http://cpudb.stanford.edu
Core i3 i3-530,73,2,36.5,http://cpudb.stanford.edu
Core i3 i3-2330M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-2370M,35,2,17.5,http://cpudb.stanford.edu
Core i3 i3-2350M,35,2,17.5,http://cpudb.stanford.edu
Core i3 540,73,2,36.5,http://cpudb.stanford.edu
