product_id,name,time,source,intended_usage,tdp (W),cores,threads
232141,Intel® Core™ i7-1365U Processor,2025-03-20 15:49:06,https://www.intel.com/content/www/us/en/products/sku/232141/intel-core-i71365u-processor-12m-cache-up-to-5-20-ghz/specifications.html,local,15,10,12
233390,Intel® Core™ i7-1365UE Processor,2025-03-20 15:49:07,https://www.intel.com/content/www/us/en/products/sku/233390/intel-core-i71365ue-processor-12m-cache-up-to-4-90-ghz/specifications.html,local,15,10,12
230490,Intel® Core™ i7-13700 Processor,2025-03-20 15:49:07,https://www.intel.com/content/www/us/en/products/sku/230490/intel-core-i713700-processor-30m-cache-up-to-5-20-ghz/specifications.html,local,65,16,24
232168,Intel® Core™ i7-13700E Processor,2025-03-20 15:49:08,https://www.intel.com/content/www/us/en/products/sku/232168/intel-core-i713700e-processor-30m-cache-up-to-5-10-ghz/specifications.html,local,65,16,24
230491,Intel® Core™ i7-13700F Processor,2025-03-20 15:49:08,https://www.intel.com/content/www/us/en/products/sku/230491/intel-core-i713700f-processor-30m-cache-up-to-5-20-ghz/specifications.html,local,65,16,24
232128,Intel® Core™ i7-13700H Processor,2025-03-20 15:49:09,https://www.intel.com/content/www/us/en/products/sku/232128/intel-core-i713700h-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,45,14,20
232166,Intel® Core™ i7-13700HX Processor,2025-03-20 15:49:09,https://www.intel.com/content/www/us/en/products/sku/232166/intel-core-i713700hx-processor-30m-cache-up-to-5-00-ghz/specifications.html,local,55,16,24
230492,Intel® Core™ i7-13700T Processor,2025-03-20 15:49:10,https://www.intel.com/content/www/us/en/products/sku/230492/intel-core-i713700t-processor-30m-cache-up-to-4-90-ghz/specifications.html,local,35,16,24
232131,Intel® Core™ i7-13700TE Processor,2025-03-20 15:49:10,https://www.intel.com/content/www/us/en/products/sku/232131/intel-core-i713700te-processor-30m-cache-up-to-4-80-ghz/specifications.html,local,35,16,24
232139,Intel® Core™ i7-13705H Processor,2025-03-20 15:49:11,https://www.intel.com/content/www/us/en/products/sku/232139/intel-core-i713705h-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,45,14,20
232146,Intel® Core™ i7-1370P Processor,2025-03-20 15:49:11,https://www.intel.com/content/www/us/en/products/sku/232146/intel-core-i71370p-processor-24m-cache-up-to-5-20-ghz/specifications.html,local,28,14,20
