name,launch date,source,intended usage,tdp (W),cores,threads
amd ryzen 3 pro 2200g,2018-05-10,https://en.wikichip.org/wiki/amd/ryzen_3/pro_2200g,Desktop,65.0,4,4.0
amd ryzen 3 pro 2200ge,2018-05-10,https://en.wikichip.org/wiki/amd/ryzen_3/pro_2200ge,Desktop,35.0,4,4.0
amd ryzen 3 pro 2300u,2018-01-08,https://en.wikichip.org/wiki/amd/ryzen_3/pro_2300u,Mobile,15.0,4,4.0
amd ryzen 3 pro 3200g,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_3/pro_3200g,Desktop,65.0,4,4.0
amd ryzen 3 pro 3200ge,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_3/pro_3200ge,Desktop,35.0,4,4.0
amd ryzen 3 pro 3300u,2019-04-08,https://en.wikichip.org/wiki/amd/ryzen_3/pro_3300u,Mobile,15.0,4,4.0
amd ryzen 3 pro 4350g,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_3/pro_4350g,Desktop,65.0,4,8.0
amd ryzen 3 pro 4350ge,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_3/pro_4350ge,Desktop,35.0,4,8.0
amd ryzen 3 pro 4450u,2020-05-07,https://en.wikichip.org/wiki/amd/ryzen_3/pro_4450u,Mobile,15.0,4,8.0
amd ryzen 3 pro 5350g,2021-06-01,https://en.wikichip.org/wiki/amd/ryzen_3/pro_5350g,Desktop,65.0,4,8.0
amd ryzen 3 pro 5350ge,2021-06-01,https://en.wikichip.org/wiki/amd/ryzen_3/pro_5350ge,Desktop,35.0,4,8.0
amd ryzen 3 pro 5450u,2021-03-16,https://en.wikichip.org/wiki/amd/ryzen_3/pro_5450u,Mobile,15.0,4,8.0
amd ryzen 5 1400,2017-04-11,https://en.wikichip.org/wiki/amd/ryzen_5/1400,Desktop,65.0,4,8.0
amd ryzen 5 1500x,2017-04-11,https://en.wikichip.org/wiki/amd/ryzen_5/1500x,Desktop,65.0,4,8.0
amd ryzen 5 1600,2017-04-11,https://en.wikichip.org/wiki/amd/ryzen_5/1600,Desktop,65.0,6,12.0
amd ryzen 5 1600x,2017-04-11,https://en.wikichip.org/wiki/amd/ryzen_5/1600x,Desktop,95.0,6,12.0
amd ryzen 5 2400g,2018-02-12,https://en.wikichip.org/wiki/amd/ryzen_5/2400g,Desktop,65.0,4,8.0
amd ryzen 5 2400ge,2018-04-19,https://en.wikichip.org/wiki/amd/ryzen_5/2400ge,Desktop,35.0,4,8.0
amd ryzen 5 2500u,2017-10-26,https://en.wikichip.org/wiki/amd/ryzen_5/2500u,Mobile,15.0,4,8.0
amd ryzen 5 2500x,2018-09-10,https://en.wikichip.org/wiki/amd/ryzen_5/2500x,Desktop,65.0,4,8.0
amd ryzen 5 2600,2018-04-19,https://en.wikichip.org/wiki/amd/ryzen_5/2600,Desktop,65.0,6,12.0
amd ryzen 5 2600e,2018-09-10,https://en.wikichip.org/wiki/amd/ryzen_5/2600e,Desktop,45.0,6,12.0
amd ryzen 5 2600h,2018-09-10,https://en.wikichip.org/wiki/amd/ryzen_5/2600h,Mobile,45.0,4,8.0
amd ryzen 5 2600x,2018-04-19,https://en.wikichip.org/wiki/amd/ryzen_5/2600x,Desktop,95.0,6,12.0
amd ryzen 5 3400g,2019-07-07,https://en.wikichip.org/wiki/amd/ryzen_5/3400g,Desktop,65.0,4,8.0
amd ryzen 5 3500,,https://en.wikichip.org/wiki/amd/ryzen_5/3500,Desktop,65.0,6,6.0
amd ryzen 5 3500u,2019-01-06,https://en.wikichip.org/wiki/amd/ryzen_5/3500u,Mobile,15.0,4,8.0
amd ryzen 5 3500x,,https://en.wikichip.org/wiki/amd/ryzen_5/3500x,Desktop,65.0,6,6.0
amd ryzen 5 3550h,2019-01-06,https://en.wikichip.org/wiki/amd/ryzen_5/3550h,Mobile,35.0,4,8.0
amd ryzen 5 3580u,2019-10-01,https://en.wikichip.org/wiki/amd/ryzen_5/3580u,Mobile,15.0,4,8.0
amd ryzen 5 3600,2019-07-07,https://en.wikichip.org/wiki/amd/ryzen_5/3600,Desktop,65.0,6,12.0
amd ryzen 5 3600x,2019-07-07,https://en.wikichip.org/wiki/amd/ryzen_5/3600x,Desktop,95.0,6,12.0
amd ryzen 5 3600xt,2020-07-07,https://en.wikichip.org/wiki/amd/ryzen_5/3600xt,Desktop,95.0,6,12.0
amd ryzen 5 4500u,2020-01-06,https://en.wikichip.org/wiki/amd/ryzen_5/4500u,Mobile,15.0,6,6.0
amd ryzen 5 4600g,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_5/4600g,Desktop,65.0,6,12.0
