product_id,name,time,source,intended_usage,cores,threads,tdp (W)
242670,Intel® Xeon® 6724P Processor,2025-06-12 13:45:06,https://www.intel.com/content/www/us/en/products/sku/242670/intel-xeon-6724p-processor-72m-cache-3-60-ghz/specifications.html,compute cluster,16,32,210.0
242896,Intel® Xeon® 6726P-B Processor,2025-06-12 13:45:06,https://www.intel.com/content/www/us/en/products/sku/242896/intel-xeon-6726pb-processor-168m-cache-2-30-ghz/specifications.html,compute cluster,42,84,235.0
242643,Intel® Xeon® 6728P Processor,2025-06-12 13:45:07,https://www.intel.com/content/www/us/en/products/sku/242643/intel-xeon-6728p-processor-144m-cache-2-70-ghz/specifications.html,compute cluster,24,48,210.0
241830,Intel® Xeon® 6730P Processor,2025-06-12 13:45:07,https://www.intel.com/content/www/us/en/products/sku/241830/intel-xeon-6730p-processor-288m-cache-2-50-ghz/specifications.html,compute cluster,32,64,250.0
242635,Intel® Xeon® 6731P Processor,2025-06-12 13:45:07,https://www.intel.com/content/www/us/en/products/sku/242635/intel-xeon-6731p-processor-144m-cache-2-50-ghz/specifications.html,compute cluster,32,64,245.0
242638,Intel® Xeon® 6736P Processor,2025-06-12 13:45:07,https://www.intel.com/content/www/us/en/products/sku/242638/intel-xeon-6736p-processor-144m-cache-2-00-ghz/specifications.html,compute cluster,36,72,205.0
242628,Intel® Xeon® 6737P Processor,2025-06-12 13:45:07,https://www.intel.com/content/www/us/en/products/sku/242628/intel-xeon-6737p-processor-144m-cache-2-90-ghz/specifications.html,compute cluster,32,64,270.0
242632,Intel® Xeon® 6738P Processor,2025-06-12 13:45:08,https://www.intel.com/content/www/us/en/products/sku/242632/intel-xeon-6738p-processor-144m-cache-2-90-ghz/specifications.html,compute cluster,32,64,270.0
241838,Intel® Xeon® 6740P Processor,2025-06-12 13:45:08,https://www.intel.com/content/www/us/en/products/sku/241838/intel-xeon-6740p-processor-288m-cache-2-10-ghz/specifications.html,compute cluster,48,96,270.0
241828,Intel® Xeon® 6741P Processor,2025-06-12 13:45:08,https://www.intel.com/content/www/us/en/products/sku/241828/intel-xeon-6741p-processor-288m-cache-2-50-ghz/specifications.html,compute cluster,48,96,300.0
